Symbol    ,Derivatives on Individual Securities
AUROPHARMA,AUROBINDO PHARMA LTD                
ADANIPORTS,ADANI PORT & SEZ LTD                
AARTIIND  ,AARTI INDUSTRIES LTD                
APLLTD    ,ALEMBIC PHARMA LTD                  
ASIANPAINT,ASIAN PAINTS LIMITED                
CADILAHC  ,CADILA HEALTHCARE LIMITED           
BANDHANBNK,BANDHAN BANK LIMITED                
BERGEPAINT,BERGER PAINTS (I) LTD               
BRITANNIA ,BRITANNIA INDUSTRIES LTD            
ACC       ,ACC LIMITED                         
CHOLAFIN  ,CHOLAMANDALAM IN & FIN CO           
ALKEM     ,ALKEM LABORATORIES LTD.             
AMARAJABAT,AMARA RAJA BATTERIES LTD.           
AMBUJACEM ,AMBUJA CEMENTS LTD                  
CONCOR    ,CONTAINER CORP OF IND LTD           
APOLLOHOSP,APOLLO HOSPITALS ENTER. L           
APOLLOTYRE,APOLLO TYRES LTD                    
DEEPAKNTR ,DEEPAK NITRITE LTD                  
EICHERMOT ,EICHER MOTORS LTD                   
AUBANK    ,AU SMALL FINANCE BANK LTD           
AXISBANK  ,AXIS BANK LIMITED                   
GRANULES  ,GRANULES INDIA LIMITED              
GRASIM    ,GRASIM INDUSTRIES LTD               
BAJAJ-AUTO,BAJAJ AUTO LIMITED                  
BAJAJFINSV,BAJAJ FINSERV LTD.                  
HDFC      ,HDFC LTD                            
BAJFINANCE,BAJAJ FINANCE LIMITED               
BALKRISIND,BALKRISHNA IND. LTD                 
HDFCAMC   ,HDFC AMC LIMITED                    
BANKBARODA,BANK OF BARODA                      
HINDALCO  ,HINDALCO  INDUSTRIES  LTD           
BATAINDIA ,BATA INDIA LTD                      
BEL       ,BHARAT ELECTRONICS LTD              
BHARATFORG,BHARAT FORGE LTD                    
BHARTIARTL,BHARTI AIRTEL LIMITED               
JSWSTEEL  ,JSW STEEL LIMITED                   
BHEL      ,BHEL                                
BIOCON    ,BIOCON LIMITED.                     
BOSCHLTD  ,BOSCH LIMITED                       
BPCL      ,BHARAT PETROLEUM CORP  LT           
LUPIN     ,LUPIN LIMITED                       
M&MFIN    ,M&M FIN. SERVICES LTD               
CANBK     ,CANARA BANK                         
CIPLA     ,CIPLA LTD                           
MCDOWELL-N,UNITED SPIRITS LIMITED              
COALINDIA ,COAL INDIA LTD                      
COFORGE   ,COFORGE LIMITED                     
MFSL      ,MAX FINANCIAL SERV LTD              
CUB       ,CITY UNION BANK LTD                 
CUMMINSIND,CUMMINS INDIA LTD                   
DABUR     ,DABUR INDIA LTD                     
MINDTREE  ,MINDTREE LIMITED                    
DIVISLAB  ,DIVI'S LABORATORIES LTD             
DLF       ,DLF LIMITED                         
DRREDDY   ,DR. REDDY'S LABORATORIES            
ESCORTS   ,ESCORTS INDIA LTD                   
EXIDEIND  ,EXIDE INDUSTRIES LTD                
FEDERALBNK,FEDERAL BANK LTD                    
GAIL      ,GAIL (INDIA) LTD                    
GMRINFRA  ,GMR INFRASTRUCTURE LTD.             
GODREJCP  ,GODREJ CONSUMER PRODUCTS            
PAGEIND   ,PAGE INDUSTRIES LTD                 
GODREJPROP,GODREJ PROPERTIES LTD               
PFIZER    ,PFIZER LTD                          
GUJGASLTD ,GUJARAT GAS LIMITED                 
HAVELLS   ,HAVELLS INDIA LIMITED               
PIDILITIND,PIDILITE INDUSTRIES LTD             
HCLTECH   ,HCL TECHNOLOGIES LTD                
HDFCBANK  ,HDFC BANK LTD                       
HDFCLIFE  ,HDFC LIFE INS CO LTD                
PIIND     ,PI INDUSTRIES LTD                   
POWERGRID ,POWER GRID CORP. LTD.               
HEROMOTOCO,HERO MOTOCORP LIMITED               
PVR       ,PVR LIMITED                         
SAIL      ,STEEL AUTHORITY OF INDIA            
HINDPETRO ,HINDUSTAN PETROLEUM CORP            
HINDUNILVR,HINDUSTAN UNILEVER LTD.             
IBULHSGFIN,INDIABULLS HSG FIN LTD              
SHREECEM  ,SHREE CEMENT LIMITED                
ICICIBANK ,ICICI BANK LTD.                     
SRTRANSFIN,SHRIRAM TRANSPORT FIN CO.           
ICICIGI   ,ICICI LOMBARD GIC LIMITED           
ICICIPRULI,ICICI PRU LIFE INS CO LTD           
IDEA      ,VODAFONE IDEA LIMITED               
IDFCFIRSTB,IDFC FIRST BANK LIMITED             
TATACHEM  ,TATA CHEMICALS LTD                  
IGL       ,INDRAPRASTHA GAS LTD                
TATACONSUM,TATA CONSUMER PRODUCT LTD           
INDIGO    ,INTERGLOBE AVIATION LTD             
INDUSINDBK,INDUSIND BANK LIMITED               
INDUSTOWER,INDUS TOWERS LIMITED                
TATAMOTORS,TATA MOTORS LIMITED                 
INFY      ,INFOSYS LIMITED                     
IOC       ,INDIAN OIL CORP LTD                 
TATAPOWER ,TATA POWER CO LTD                   
TATASTEEL ,TATA STEEL LIMITED                  
IRCTC     ,INDIAN RAIL TOUR CORP LTD           
TECHM     ,TECH MAHINDRA LIMITED               
ITC       ,ITC LTD                             
JINDALSTEL,JINDAL STEEL & POWER LTD            
JUBLFOOD  ,JUBILANT FOODWORKS LTD              
KOTAKBANK ,KOTAK MAHINDRA BANK LTD             
TORNTPHARM,TORRENT PHARMACEUTICALS L           
L&TFH     ,L&T FINANCE HOLDINGS LTD            
LICHSGFIN ,LIC HOUSING FINANCE LTD             
LT        ,LARSEN & TOUBRO LTD.                
TORNTPOWER,TORRENT POWER LTD                   
UPL       ,UPL LIMITED                         
LTI       ,L&T INFOTECH LIMITED                
LTTS      ,L&T TECHNOLOGY SER. LTD.            
M&M       ,MAHINDRA & MAHINDRA LTD             
VOLTAS    ,VOLTAS LTD                          
MANAPPURAM,MANAPPURAM FINANCE LTD              
MARICO    ,MARICO LIMITED                      
MGL       ,MAHANAGAR GAS LTD.                  
ASHOKLEY  ,ASHOK LEYLAND LTD                   
MOTHERSUMI,MOTHERSON SUMI SYSTEMS LT           
MPHASIS   ,MPHASIS LIMITED                     
MRF       ,MRF LTD                             
MUTHOOTFIN,MUTHOOT FINANCE LIMITED             
NAM-INDIA ,NIPPON L I A M LTD                  
ADANIENT  ,ADANI ENTERPRISES LIMITED           
NATIONALUM,NATIONAL ALUMINIUM CO LTD           
NAUKRI    ,INFO EDGE (I) LTD                   
NAVINFLUOR,NAVIN FLUORINE INT. LTD             
NTPC      ,NTPC LTD                            
ONGC      ,OIL AND NATURAL GAS CORP.           
PEL       ,PIRAMAL ENTERPRISES LTD             
PETRONET  ,PETRONET LNG LIMITED                
PFC       ,POWER FIN CORP LTD.                 
PNB       ,PUNJAB NATIONAL BANK                
RAMCOCEM  ,THE RAMCO CEMENTS LIMITED           
RBLBANK   ,RBL BANK LIMITED                    
RECLTD    ,REC LIMITED                         
RELIANCE  ,RELIANCE INDUSTRIES LTD             
SBIN      ,STATE BANK OF INDIA                 
SIEMENS   ,SIEMENS LTD                         
SRF       ,SRF LTD                             
SUNPHARMA ,SUN PHARMACEUTICAL IND L            
SUNTV     ,SUN TV NETWORK LIMITED              
TCS       ,TATA CONSULTANCY SERV LT            
TITAN     ,TITAN COMPANY LIMITED               
TRENT     ,TRENT LTD                           
TVSMOTOR  ,TVS MOTOR COMPANY  LTD              
UBL       ,UNITED BREWERIES LTD                
ULTRACEMCO,ULTRATECH CEMENT LIMITED            
WIPRO     ,WIPRO LTD                           
ZEEL      ,ZEE ENTERTAINMENT ENT LTD           
GLENMARK  ,GLENMARK PHARMACEUTICALS            
COLPAL    ,COLGATE PALMOLIVE LTD.              
LALPATHLAB,DR. LAL PATH LABS LTD.              
MARUTI    ,MARUTI SUZUKI INDIA LTD.            
NESTLEIND ,NESTLE INDIA LIMITED                
NMDC      ,NMDC LTD.                           
SBILIFE   ,SBI LIFE INSURANCE CO LTD           
VEDL      ,VEDANTA LIMITED                     
